CustomerId,Geography,Gender,Age,Tenure,Balance,NumOfProducts,IsActiveMember,CreditScore,Exited,ChurnProbability,RiskScore,RiskBand,EstimatedValueAtRisk,RecommendedAction
15006429,Germany,Female,40,1,103140.01,3,0,444,1,0.8680924567295786,86.8,Critical,89535.06,Immediate call from relationship manager + retention offer
15000573,Germany,Male,45,3,120046.82,1,0,415,1,0.8633809604866798,86.3,Critical,103646.14,Immediate call from relationship manager + retention offer
15000630,Germany,Female,46,4,80247.91,1,0,469,1,0.8600844026795023,86.0,Critical,69019.98,Immediate call from relationship manager + retention offer
15007580,Germany,Male,50,3,101292.95,1,0,461,1,0.8570296883622619,85.7,Critical,86811.07,Immediate call from relationship manager + retention offer
15006385,Germany,Male,50,4,87733.85,1,0,425,1,0.852681154469505,85.3,Critical,74809.0,Immediate call from relationship manager + retention offer
15000238,Germany,Female,53,1,143398.4,1,0,468,1,0.8515064607247772,85.2,Critical,122104.66,Immediate call from relationship manager + retention offer
15001059,Germany,Female,46,2,162012.23,3,0,637,1,0.8391728408183398,83.9,Critical,135956.26,Immediate call from relationship manager + retention offer
15008598,Germany,Female,40,1,138940.0,1,0,461,1,0.8369802718469354,83.7,Critical,116290.04,Immediate call from relationship manager + retention offer
15005618,Germany,Female,48,0,75350.17,1,0,508,1,0.8360147385471087,83.6,Critical,62993.85,Immediate call from relationship manager + retention offer
15005130,Germany,Male,47,4,0.0,1,0,478,1,0.8298599622981865,83.0,Critical,0.0,Immediate call from relationship manager + retention offer
15003935,Germany,Male,48,1,0.0,1,0,430,0,0.8276793145628614,82.8,Critical,0.0,Immediate call from relationship manager + retention offer
15006601,Germany,Female,42,0,153177.1,3,0,707,1,0.8273467938657343,82.7,Critical,126730.58,Immediate call from relationship manager + retention offer
15005599,Germany,Male,38,5,50887.65,1,0,494,1,0.827049553241104,82.7,Critical,42086.61,Immediate call from relationship manager + retention offer
15001045,Germany,Female,53,1,59857.81,1,0,684,1,0.8258108792945217,82.6,Critical,49431.23,Immediate call from relationship manager + retention offer
15002886,Germany,Male,43,5,0.0,1,0,455,1,0.8246779785995396,82.5,Critical,0.0,Immediate call from relationship manager + retention offer
15003592,Germany,Female,36,2,91586.42,4,0,629,1,0.8230694109219472,82.3,Critical,75381.98,Immediate call from relationship manager + retention offer
15003327,Germany,Male,38,5,105929.88,3,0,672,1,0.8224187223969639,82.2,Critical,87118.72,Immediate call from relationship manager + retention offer
15004991,Germany,Female,40,3,77259.64,3,0,721,1,0.8174504921650234,81.7,Critical,63155.93,Immediate call from relationship manager + retention offer
15000743,Germany,Male,44,2,106952.23,3,0,631,1,0.8166249568039556,81.7,Critical,87339.86,Immediate call from relationship manager + retention offer
15002814,Germany,Male,59,6,0.0,1,0,449,1,0.8167034150603328,81.7,Critical,0.0,Immediate call from relationship manager + retention offer
15006700,Germany,Female,36,1,90479.42,1,0,480,1,0.8155961952016899,81.6,Critical,73794.67,Immediate call from relationship manager + retention offer
15009861,Germany,Female,42,1,0.0,1,0,697,1,0.8157543855767992,81.6,Critical,0.0,Immediate call from relationship manager + retention offer
15005651,Germany,Male,49,5,134532.55,3,0,649,1,0.8148288030349371,81.5,Critical,109621.0,Immediate call from relationship manager + retention offer
15009222,Germany,Female,43,1,0.0,4,0,494,1,0.8136843043875017,81.4,Critical,0.0,Immediate call from relationship manager + retention offer
15000159,Germany,Female,37,0,133835.89,2,0,453,1,0.813914853826607,81.4,Critical,108931.02,Immediate call from relationship manager + retention offer
15007051,Germany,Male,45,1,96360.57,1,0,631,0,0.8142381980286849,81.4,Critical,78460.46,Immediate call from relationship manager + retention offer
15000350,Germany,Female,44,3,49615.6,2,0,461,1,0.8126455888107416,81.3,Critical,40319.9,Immediate call from relationship manager + retention offer
15002855,Germany,Male,47,4,0.0,1,0,359,0,0.8133886515255272,81.3,Critical,0.0,Immediate call from relationship manager + retention offer
15001113,Germany,Male,56,2,0.0,1,0,700,1,0.8116460618915213,81.2,Critical,0.0,Immediate call from relationship manager + retention offer
15006436,Germany,Female,33,2,83951.97,1,0,457,1,0.8124125304827468,81.2,Critical,68203.63,Immediate call from relationship manager + retention offer
15006903,Germany,Male,44,1,39622.22,1,0,542,0,0.8108970967349604,81.1,Critical,32129.54,Immediate call from relationship manager + retention offer
15003463,Germany,Female,51,2,0.0,1,0,675,1,0.8096243296985812,81.0,Critical,0.0,Immediate call from relationship manager + retention offer
15004831,Germany,Male,41,1,80971.87,1,0,527,1,0.8083563063403861,80.8,Critical,65454.12,Immediate call from relationship manager + retention offer
15005125,Germany,Male,39,0,135409.51,2,0,383,1,0.8078812676343009,80.8,Critical,109394.81,Immediate call from relationship manager + retention offer
15001125,Germany,Female,50,6,132441.49,2,0,497,1,0.8078038314875713,80.8,Critical,106986.74,Immediate call from relationship manager + retention offer
15003868,Germany,Female,38,0,120960.47,1,0,463,0,0.8083003951436941,80.8,Critical,97772.4,Immediate call from relationship manager + retention offer
15005839,Germany,Female,54,2,37792.59,1,0,680,1,0.8073439513589321,80.7,Critical,30511.62,Immediate call from relationship manager + retention offer
15005861,Germany,Female,52,1,0.0,1,0,645,0,0.8068174010257166,80.7,Critical,0.0,Immediate call from relationship manager + retention offer
15009286,Germany,Female,45,1,0.0,1,0,654,1,0.8059879254523858,80.6,Critical,0.0,Immediate call from relationship manager + retention offer
15002121,Germany,Male,44,7,207391.29,1,0,498,1,0.8055773688565299,80.6,Critical,167069.73,Immediate call from relationship manager + retention offer
15000777,Germany,Female,48,1,0.0,2,0,697,1,0.8033892326358941,80.3,Critical,0.0,Immediate call from relationship manager + retention offer
15002559,Germany,Female,46,5,0.0,1,0,651,1,0.8024417421758351,80.2,Critical,0.0,Immediate call from relationship manager + retention offer
15002956,Germany,Female,46,1,88795.15,3,0,580,1,0.802423466374686,80.2,Critical,71251.31,Immediate call from relationship manager + retention offer
15006236,Germany,Male,41,1,112288.56,1,0,705,1,0.8011449290652137,80.1,Critical,89959.41,Immediate call from relationship manager + retention offer
